x0,y0,x1,y1,w,h,diff_fill,changed,alpha,white,dark,id
3096,2657,3160,2783,64,126,0.9993,8058,4836,1901,2762,192
3164,2657,3293,2717,129,60,0.9916,7675,4888,1899,2790,193
2717,2671,2819,2780,102,109,0.9901,11008,6062,1820,4059,194
3297,2679,3363,2799,66,120,0.9994,7915,4774,1849,2718,195
3367,2699,3427,2828,60,129,0.978,7570,5017,1907,2944,196
3431,2699,3491,2828,60,129,0.988,7647,5036,1893,2974,197
3495,2718,3555,2845,60,127,0.9706,7396,5161,1922,3008,198
3164,2721,3293,2783,129,62,0.9996,7995,5002,1861,2943,199
1159,2728,1290,2795,131,67,0.9786,8589,5317,2428,2370,200
1294,2728,1420,2802,126,74,0.9966,9292,5159,2036,2946,201
1424,2728,1548,2802,124,74,0.9662,8866,5031,1874,3011,202
1903,2733,2054,2829,151,96,0.9627,13956,6381,1788,4341,203
2908,2750,3039,2827,131,77,0.9943,10029,5112,1916,2987,204
2451,2752,2555,2866,104,114,0.9928,11771,6013,1788,4048,205
2559,2777,2685,2868,126,91,0.9909,11362,5430,1968,3295,206
2689,2784,2818,2870,129,86,0.997,11061,5148,1882,3033,207
3043,2787,3172,2864,129,77,0.9871,9805,5015,1886,2912,208
1020,2799,1258,2933,238,134,0.8498,27103,11703,303,11192,209
3176,2803,3305,2865,129,62,0.9712,7768,5034,2144,2611,210
1262,2806,1437,2941,175,135,0.9732,22992,10620,614,9454,211
1620,2829,1779,2951,159,122,0.8886,17237,6765,3651,2872,212
2822,2831,2954,2910,132,79,0.9415,9818,5633,2692,2491,213
3309,2832,3434,2895,125,63,0.978,7702,4968,1883,2919,214
2958,2868,3089,2945,131,77,0.9848,9934,5119,1877,3026,215
3093,2869,3220,2947,127,78,0.9707,9616,5431,1932,3296,216
2437,2870,2541,2984,104,114,0.9949,11796,5995,1799,4018,217
2545,2872,2645,2987,100,115,0.9503,10929,5705,1964,3520,218
3553,2873,3671,2937,118,64,0.9995,7548,4904,2007,2720,219
2649,2874,2744,2991,95,117,0.9967,11078,5626,2313,3089,220
3224,2899,3351,2962,127,63,0.9756,7806,5078,1929,2936,221
2748,2914,2840,3028,92,114,0.997,10457,6199,1549,4059,222
3355,2922,3478,2986,123,64,0.9844,7749,4772,1791,2836,223
777,2937,911,3005,134,68,0.9627,8772,4877,1868,2775,224
1105,2945,1297,3059,192,114,0.9812,21477,9850,1827,7430,225
2844,2949,2976,3028,132,79,0.938,9781,5599,2692,2437,226
2980,2951,3111,3028,131,77,0.9962,10049,5199,1901,3089,227
1301,2954,1481,3083,180,129,0.9379,21779,9377,259,8803,228
1622,2955,1753,3013,131,58,0.9954,7563,4567,1844,2499,229
1757,2955,1885,3020,128,65,0.9912,8247,4852,1892,2788,230
2018,2958,2149,3046,131,88,0.987,11378,5078,1885,3000,231
2153,2958,2280,3052,127,94,0.9983,11918,5356,2001,3127,232
2410,2988,2515,3101,105,113,0.9402,11156,5828,1957,3648,233
3232,2990,3357,3054,125,64,0.9859,7887,4968,1771,3008,234
2519,2991,2611,3116,92,125,0.9973,11469,5067,1889,2938,235
2615,2995,2704,3120,89,125,0.9614,10696,5589,1981,3403,236
3482,3006,3546,3125,64,119,0.9996,7613,4955,1987,2795,237
1485,3017,1665,3126,180,109,0.8954,17567,7421,317,7030,238
1669,3024,1824,3139,155,115,0.9293,16564,10535,278,9935,239
1828,3028,1969,3140,141,112,0.9999,15791,6030,3135,2685,240
2807,3032,2886,3164,79,132,0.9388,9790,5632,2681,2480,241
2977,3032,3105,3112,128,80,0.9459,9686,5219,1951,3018,242
3361,3032,3478,3099,117,67,0.983,7706,5035,1898,2952,243
3550,3032,3609,3158,59,126,0.9697,7209,4809,1887,2758,244
1973,3050,2082,3175,109,125,0.9361,12754,4533,1813,2596,245
2890,3055,2973,3180,83,125,0.9999,10374,4941,1897,2928,246
1081,3063,1216,3246,135,183,0.9705,23977,11187,616,10012,247
3239,3103,3364,3167,125,64,0.988,7904,4631,1945,2525,248
2304,3105,2429,3200,125,95,0.9971,11841,5576,2028,3334,249
2977,3116,3072,3225,95,109,1.0,10355,5017,1877,2972,250
2433,3120,2537,3231,104,111,0.9984,11526,5333,1949,3237,251
2541,3124,2636,3242,95,118,0.9964,11170,6073,2400,3501,252
3368,3129,3496,3190,128,61,0.9716,7586,5030,1918,2896,253
